,precision,recall,f1-score,support,ID_Entrenamiento,AUC
Clase 0,0.800524934383202,0.9902597402597403,0.8853410740203193,308.0,,
Clase 1,0.5268065268065268,0.6996904024767802,0.601063829787234,323.0,,
Clase 2,0.8946459412780656,0.683377308707124,0.774869109947644,758.0,,
accuracy,0.7552195824334054,0.7552195824334054,0.7552195824334054,0.7552195824334054,,
macro avg,0.7406591341559315,0.7911091504812148,0.7537580045850657,1389.0,,
weighted avg,0.7882374452392427,0.7552195824334054,0.7589484903958597,1389.0,,
AUC,0.9074924678589555,,,,Entrenamiento_21078,0.9074924678589555
Clase 0,0.9166666666666666,0.9285714285714286,0.9225806451612903,308.0,,
Clase 1,0.42995169082125606,0.826625386996904,0.565677966101695,323.0,,
Clase 2,0.9035087719298246,0.5435356200527705,0.6787479406919276,758.0,,
accuracy,0.6947444204463643,0.6947444204463643,0.6947444204463643,0.6947444204463643,,
macro avg,0.7500423764725824,0.7662441452070343,0.7223355173183043,1389.0,,
weighted avg,0.7963048082011562,0.6947444204463643,0.706522505979126,1389.0,,
AUC,0.9045011648538472,,,,Entrenamiento_35212,0.9045011648538472
Clase 0,0.948051948051948,0.948051948051948,0.948051948051948,308.0,,
Clase 1,0.49162011173184356,0.8173374613003096,0.6139534883720931,323.0,,
Clase 2,0.9025735294117647,0.6477572559366754,0.7542242703533026,758.0,,
accuracy,0.7537796976241901,0.7537796976241901,0.7537796976241901,0.7537796976241901,,
macro avg,0.7807485297318522,0.8043822217629777,0.7720765689257812,1389.0,,
weighted avg,0.8170943350493184,0.7537796976241901,0.7645852942202948,1389.0,,
AUC,0.9174747173731707,,,,Entrenamiento_54709,0.9174747173731707
Clase 0,0.8742857142857143,0.9935064935064936,0.9300911854103343,308.0,,
Clase 1,0.4520547945205479,0.8173374613003096,0.5821389195148843,323.0,,
Clase 2,0.9098901098901099,0.5461741424802111,0.6826051112943117,758.0,,
accuracy,0.7084233261339092,0.7084233261339092,0.7084233261339092,0.7084233261339092,,
macro avg,0.7454102062321241,0.7856726990956714,0.7316117387398434,1389.0,,
weighted avg,0.7955294470315624,0.7084233261339092,0.714120684284218,1389.0,,
AUC,0.9116106044685895,,,,Entrenamiento_18688,0.9116106044685895
Clase 0,0.0,0.0,0.0,308.0,,
Clase 1,0.0,0.0,0.0,323.0,,
Clase 2,0.5457163426925846,1.0,0.7061015370284117,758.0,,
accuracy,0.5457163426925846,0.5457163426925846,0.5457163426925846,0.5457163426925846,,
macro avg,0.18190544756419488,0.3333333333333333,0.23536717900947057,1389.0,,
weighted avg,0.29780632668177043,0.5457163426925846,0.38533114835675747,1389.0,,
AUC,0.4244891670626405,,,,Entrenamiento_86729,0.4244891670626405
Clase 0,0.0,0.0,0.0,308.0,,
Clase 1,0.0,0.0,0.0,323.0,,
Clase 2,0.5457163426925846,1.0,0.7061015370284117,758.0,,
accuracy,0.5457163426925846,0.5457163426925846,0.5457163426925846,0.5457163426925846,,
macro avg,0.18190544756419488,0.3333333333333333,0.23536717900947057,1389.0,,
weighted avg,0.29780632668177043,0.5457163426925846,0.38533114835675747,1389.0,,
AUC,0.5194980659572854,,,,Entrenamiento_65732,0.5194980659572854
Clase 0,0.9066666666666666,0.9230769230769231,0.9147982062780269,221.0,Entrenamiento_86730,
Clase 1,0.7083333333333334,0.6923076923076923,0.700228832951945,221.0,Entrenamiento_86730,
Clase 2,0.7432432432432432,0.746606334841629,0.744920993227991,221.0,Entrenamiento_86730,
accuracy,0.7873303167420814,0.7873303167420814,0.7873303167420814,0.7873303167420814,Entrenamiento_86730,
macro avg,0.7860810810810811,0.7873303167420814,0.7866493441526542,663.0,Entrenamiento_86730,
weighted avg,0.7860810810810811,0.7873303167420814,0.7866493441526543,663.0,Entrenamiento_86730,
AUC,0.922745917023266,,,,Entrenamiento_86730,0.922745917023266
Clase 0,0.9241706161137441,0.8823529411764706,0.9027777777777778,221.0,Entrenamiento_86731,
Clase 1,0.6443661971830986,0.8280542986425339,0.7247524752475247,221.0,Entrenamiento_86731,
Clase 2,0.7738095238095238,0.5882352941176471,0.6683804627249358,221.0,Entrenamiento_86731,
accuracy,0.7662141779788839,0.7662141779788839,0.7662141779788839,0.7662141779788839,Entrenamiento_86731,
macro avg,0.7807821123687888,0.7662141779788838,0.7653035719167461,663.0,Entrenamiento_86731,
weighted avg,0.7807821123687888,0.7662141779788839,0.7653035719167461,663.0,Entrenamiento_86731,
AUC,0.9226435440169803,,,,Entrenamiento_86731,0.9226435440169803
Clase 0,0.9336283185840708,0.9547511312217195,0.9440715883668904,221.0,Entrenamiento_86732,
Clase 1,0.7857142857142857,0.746606334841629,0.765661252900232,221.0,Entrenamiento_86732,
Clase 2,0.7929515418502202,0.8144796380090498,0.8035714285714286,221.0,Entrenamiento_86732,
accuracy,0.8386123680241327,0.8386123680241327,0.8386123680241327,0.8386123680241327,Entrenamiento_86732,
macro avg,0.8374313820495255,0.8386123680241327,0.8377680899461838,663.0,Entrenamiento_86732,
weighted avg,0.8374313820495256,0.8386123680241327,0.8377680899461837,663.0,Entrenamiento_86732,
AUC,0.9368972789254929,,,,Entrenamiento_86732,0.9368972789254929
Clase 0,0.9764150943396226,0.9366515837104072,0.9561200923787528,221.0,Entrenamiento_86733,
Clase 1,0.8284313725490197,0.7647058823529411,0.7952941176470588,221.0,Entrenamiento_86733,
Clase 2,0.7975708502024291,0.8914027149321267,0.8418803418803419,221.0,Entrenamiento_86733,
accuracy,0.8642533936651584,0.8642533936651584,0.8642533936651584,0.8642533936651584,Entrenamiento_86733,
macro avg,0.8674724390303572,0.8642533936651584,0.8644315173020511,663.0,Entrenamiento_86733,
weighted avg,0.8674724390303571,0.8642533936651584,0.8644315173020511,663.0,Entrenamiento_86733,
AUC,0.947544071579206,,,,Entrenamiento_86733,0.947544071579206
Clase 0,0.9547511312217195,0.9547511312217195,0.9547511312217195,221.0,Entrenamiento_86734,
Clase 1,0.7636363636363637,0.7601809954751131,0.7619047619047619,221.0,Entrenamiento_86734,
Clase 2,0.7837837837837838,0.7873303167420814,0.7855530474040632,221.0,Entrenamiento_86734,
accuracy,0.8340874811463047,0.8340874811463047,0.8340874811463047,0.8340874811463047,Entrenamiento_86734,
macro avg,0.8340570928806224,0.8340874811463047,0.8340696468435148,663.0,Entrenamiento_86734,
weighted avg,0.8340570928806224,0.8340874811463047,0.8340696468435148,663.0,Entrenamiento_86734,
AUC,0.9470902179180061,,,,Entrenamiento_86734,0.9470902179180061
Clase 0,0.9720930232558139,0.9457013574660633,0.9587155963302753,221.0,Entrenamiento_86735,
Clase 1,0.8148148148148148,0.6968325791855203,0.751219512195122,221.0,Entrenamiento_86735,
Clase 2,0.749034749034749,0.8778280542986425,0.8083333333333333,221.0,Entrenamiento_86735,
accuracy,0.8401206636500754,0.8401206636500754,0.8401206636500754,0.8401206636500754,Entrenamiento_86735,
macro avg,0.8453141957017926,0.8401206636500754,0.8394228139529103,663.0,Entrenamiento_86735,
weighted avg,0.8453141957017927,0.8401206636500754,0.8394228139529103,663.0,Entrenamiento_86735,
AUC,0.9471823536236631,,,,Entrenamiento_86735,0.9471823536236631
Clase 0,0.9638009049773756,0.9638009049773756,0.9638009049773756,221.0,Entrenamiento_86736,
Clase 1,0.8056872037914692,0.7692307692307693,0.7870370370370371,221.0,Entrenamiento_86736,
Clase 2,0.8095238095238095,0.8461538461538461,0.827433628318584,221.0,Entrenamiento_86736,
accuracy,0.8597285067873304,0.8597285067873304,0.8597285067873304,0.8597285067873304,Entrenamiento_86736,
macro avg,0.8596706394308847,0.8597285067873304,0.8594238567776656,663.0,Entrenamiento_86736,
weighted avg,0.8596706394308847,0.8597285067873304,0.8594238567776655,663.0,Entrenamiento_86736,
AUC,0.9496836674105772,,,,Entrenamiento_86736,0.9496836674105772
